ROUND,BETTER_SEED,WORSE_SEED,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED TEMPO,FREE THROW %,OFFENSIVE REBOUND %,3PT RATE DEFENSE,KENPOM ADJUSTED DEFENSE,EFG % DEFENSE,TURNOVER % DEFENSE,3PT % DEFENSE,EFG %,ASSIST %,FREE THROW RATE,TURNOVER %,WIN %,FREE THROW % DEFENSE,BLOCKED %,3PT RATE,FREE THROW RATE DEFENSE,DEFENSIVE REBOUND %,ELITE SOS,OP ASSIST %,BLOCK %,UPSET
2,12,13,6.299999999999999,0.3000000000000113,4.0,5.099999999999998,6.0,-5.5,-0.6000000000000014,-0.1000000000000014,-1.0,-1.3999999999999986,2.8999999999999986,3.5,5.199999999999999,-6.25,4.6000000000000085,3.6999999999999993,5.700000000000003,20.9,5.499999999999993,15.54,4.900000000000006,0.0,0
2,4,12,10.7,1.9000000000000057,5.5,-5.200000000000003,-5.399999999999999,4.0,3.1000000000000014,-0.5,2.099999999999998,1.2000000000000028,-8.399999999999999,-1.8999999999999984,-5.800000000000001,-8.079999999999998,-1.0,0.2999999999999989,9.3,-8.399999999999999,-10.5,17.179999999999996,2.8999999999999986,-3.1,0
1,8,9,0.3999999999999986,-0.7999999999999972,13.399999999999991,4.199999999999999,-6.100000000000001,3.799999999999997,3.5,3.5,3.9000000000000057,2.799999999999997,5.300000000000004,0.3000000000000007,0.8000000000000007,3.119999999999997,13.399999999999991,0.5,6.299999999999997,9.1,-1.5999999999999943,-6.550000000000001,5.600000000000001,1.3000000000000007,1
5,1,4,10.379,-7.9210000000000065,-4.200000000000003,1.6000000000000014,-3.5,-8.723099999999988,-4.799999999999997,0.5999999999999996,0.0,0.8000000000000043,12.200000000000005,-1.9000000000000057,-1.0999999999999996,25.551470589999997,-2.0999999999999943,-4.199999999999999,-5.899999999999999,-7.100000000000001,3.1000000000000085,-2.610999999999997,0.8999999999999986,4.0,0
1,7,10,1.6000000000000014,0.8000000000000114,4.0,-0.5,-0.5,2.9000000000000057,2.8999999999999986,2.5,1.9000000000000057,-0.7000000000000028,0.6000000000000014,-10.2,-2.299999999999997,-3.1299999999999955,2.0999999999999943,-0.9000000000000004,12.2,11.900000000000002,-2.700000000000003,7.489999999999998,7.200000000000003,2.799999999999999,0
0,11,11,-5.299999999999999,2.9000000000000057,-6.1000000000000085,3.6000000000000014,0.0999999999999943,-0.9000000000000057,-2.9000000000000057,2.900000000000002,1.5999999999999943,-4.600000000000001,-3.3000000000000043,11.6,0.8000000000000007,0.8799999999999955,2.0,-0.5999999999999996,-7.899999999999999,7.9999999999999964,-4.1000000000000085,-6.91,-2.3999999999999986,1.5999999999999996,1
1,5,12,4.6,-1.7999999999999972,4.0,-4.300000000000001,4.600000000000001,-0.5,-1.7999999999999972,-0.8000000000000007,-2.0999999999999943,-0.2000000000000028,-2.299999999999997,1.7999999999999972,-3.1999999999999997,-1.4699999999999989,0.5999999999999943,0.2999999999999998,3.8000000000000007,2.3999999999999986,-2.9000000000000057,3.140000000000001,-1.1999999999999955,2.6999999999999997,1
2,7,15,8.062000000000001,1.8459999999999892,4.5,-1.599999999999998,11.5,1.730000000000004,4.299999999999997,9.8,2.299999999999997,2.6000000000000014,8.600000000000001,-2.700000000000003,-0.8999999999999986,2.3569023599999923,6.299999999999997,-3.1000000000000005,2.5999999999999943,5.900000000000002,-14.5,18.087000000000003,14.400000000000006,0.200000000000001,1
1,1,16,30.4,5.599999999999994,1.5,-3.799999999999997,-4.200000000000003,-10.900000000000006,-6.5,-5.699999999999999,-7.199999999999999,14.299999999999995,2.5,-0.5,-0.9999999999999982,29.66,-0.5,-2.3000000000000007,-1.5,-10.599999999999998,7.700000000000003,12.8,-16.1,0.9000000000000004,0
1,7,10,5.699999999999999,5.199999999999996,-1.2000000000000028,5.899999999999999,-0.1999999999999993,11.200000000000005,4.700000000000003,-1.400000000000002,6.100000000000001,3.800000000000004,2.5,-2.799999999999997,-2.0,-1.269999999999996,5.600000000000001,2.5,14.9,-0.4000000000000021,-5.599999999999994,4.510000000000002,8.899999999999999,0.3999999999999986,0
3,2,3,2.5,1.9000000000000057,3.5,-3.3999999999999986,-3.200000000000003,0.5,-2.1000000000000014,-1.3000000000000007,0.0,2.5999999999999943,7.0,4.0,0.0,12.97,3.5,-5.1000000000000005,-12.7,1.6999999999999955,-3.700000000000003,-1.2800000000000011,-2.9000000000000057,1.8000000000000007,1
3,3,10,8.799999999999999,-1.2000000000000028,6.0,6.0,-2.700000000000003,-1.7999999999999972,1.9000000000000057,2.6999999999999997,3.299999999999997,3.0,3.1000000000000014,-4.299999999999997,2.0,15.150000000000006,-5.799999999999997,-0.1999999999999993,6.699999999999999,-4.699999999999999,-2.800000000000012,4.170000000000002,-2.5,2.1000000000000014,0
1,6,11,7.0,3.4000000000000057,1.7000000000000028,-0.8999999999999986,-7.399999999999999,-4.0,-1.3999999999999986,1.5,-3.900000000000002,2.6000000000000014,3.899999999999999,-11.4,-2.9000000000000004,22.16,1.7000000000000028,-0.5999999999999996,8.199999999999996,-7.100000000000001,-0.2999999999999971,-4.239999999999998,-14.699999999999996,0.8000000000000007,0
1,5,12,8.6,-4.799999999999997,5.900000000000006,-0.3999999999999986,7.699999999999996,0.4000000000000057,2.8999999999999986,-1.1999999999999993,1.2999999999999972,-0.8000000000000043,13.200000000000005,-1.9000000000000057,-2.099999999999998,6.019999999999996,-2.9000000000000057,3.8000000000000007,13.1,-24.000000000000004,-0.1000000000000085,7.720000000000001,4.699999999999996,-2.9000000000000004,1
3,1,4,8.7,2.3999999999999915,7.0,-0.0999999999999943,-6.899999999999999,0.5999999999999943,0.3999999999999986,-2.1999999999999997,0.8000000000000007,6.0,-2.5,10.700000000000005,0.0,7.529999999999987,2.6000000000000085,2.999999999999999,1.1000000000000014,-7.800000000000001,2.9000000000000057,1.1599999999999966,-23.099999999999994,-9.500000000000002,1
2,2,10,14.900000000000002,-2.799999999999997,11.099999999999994,12.0,2.0,-0.4000000000000057,-4.800000000000004,2.700000000000003,-3.6000000000000014,1.0999999999999943,-0.2000000000000028,3.0,-0.0999999999999978,30.77,-5.200000000000003,-0.8999999999999995,9.599999999999994,9.199999999999996,1.2999999999999972,-19.35,-4.5,0.4000000000000003,0
0,11,11,3.5,4.199999999999989,-0.7999999999999972,-1.1000000000000014,-7.200000000000003,1.5,2.700000000000003,-0.8999999999999986,-1.6999999999999955,4.799999999999997,7.599999999999994,4.799999999999997,-0.5,9.379999999999995,1.6999999999999886,-0.0999999999999996,3.1000000000000014,-1.6000000000000014,3.5,-4.490000000000002,-7.399999999999999,-3.799999999999999,1
2,11,14,9.659,1.117999999999995,-2.3999999999999915,-2.0,-5.400000000000006,-4.447000000000003,-0.1000000000000014,1.599999999999998,1.0,-1.3999999999999986,-7.199999999999996,1.6000000000000014,-2.5,-6.535947709999995,-0.2999999999999971,-0.2999999999999998,-7.299999999999997,5.099999999999998,-0.7000000000000028,13.836,-14.0,1.4000000000000004,0
1,6,11,1.900000000000002,0.0999999999999943,0.6000000000000085,3.799999999999997,-3.299999999999997,-5.0,-2.200000000000003,4.5,-0.0999999999999978,-5.100000000000001,-2.1000000000000014,8.599999999999998,1.1999999999999993,-0.0799999999999983,-7.5,-0.0999999999999996,-5.399999999999999,11.599999999999998,-3.9000000000000057,6.549999999999997,-6.700000000000003,0.5999999999999996,0
1,7,10,-0.4000000000000003,-5.800000000000004,1.5999999999999943,-0.9000000000000021,-7.600000000000001,0.0,0.2000000000000028,-1.3000000000000007,0.3999999999999986,-0.3999999999999986,9.900000000000006,-2.8999999999999986,-2.6000000000000014,3.030000000000001,-3.700000000000003,0.3000000000000007,11.599999999999998,-11.7,-2.0,2.3200000000000003,-4.900000000000006,-1.799999999999999,1
6,1,1,-5.899999999999999,1.2000000000000028,-11.199999999999996,-0.2000000000000028,-9.400000000000002,-2.200000000000003,-2.299999999999997,0.4000000000000021,-4.199999999999999,-3.299999999999997,-7.099999999999994,1.1000000000000014,-1.5,6.150000000000006,-0.4000000000000057,1.6999999999999993,7.5000000000000036,1.900000000000002,-0.2999999999999971,-9.4,-4.5,-2.6,1
2,3,6,1.6999999999999993,1.7999999999999972,8.900000000000006,1.1000000000000014,1.7000000000000028,2.8999999999999915,-0.5,-4.299999999999997,1.2999999999999972,-1.1999999999999955,-8.700000000000003,-4.300000000000004,-0.6000000000000014,-1.4699999999999989,-0.9000000000000057,1.1000000000000003,-4.900000000000002,-7.700000000000003,-4.1000000000000085,9.98,-3.3999999999999986,3.0,0
